timestep_1,region_1,region_2,technology_1,parameter,value,comment
all,US,NorthWest,biomassPlant,genUp,164500,Aghahosseini
all,US,California,biomassPlant,genUp,33800,Aghahosseini
all,US,SouthWest,biomassPlant,genUp,104400,Aghahosseini
all,US,Texas,biomassPlant,genUp,55400,Aghahosseini
all,US,US_Central,biomassPlant,genUp,47300,Aghahosseini
all,US,MidWest,biomassPlant,genUp,127300,Aghahosseini
all,US,MidAtlantic,biomassPlant,genUp,27300,Aghahosseini
all,US,Tennessee,biomassPlant,genUp,17000,Aghahosseini
all,US,Florida,biomassPlant,genUp,12200,Aghahosseini
all,US,SouthEast,biomassPlant,genUp,24400,Aghahosseini
all,US,Carolinas,biomassPlant,genUp,17700,Aghahosseini
all,US,NewYork,biomassPlant,genUp,13050,Aghahosseini
all,US,NewEngland,biomassPlant,genUp,13050,Aghahosseini
all,Mexico,BajaCalifornia,biomassPlant,genUp,2700,Aghahosseini
all,Mexico,BajaCaliforniaSur,biomassPlant,genUp,2700,Aghahosseini
all,Mexico,MEX_Central,biomassPlant,genUp,2920,Aghahosseini
all,Mexico,Norte,biomassPlant,genUp,11300,Aghahosseini
all,Mexico,NorOeste,biomassPlant,genUp,10800,Aghahosseini
all,Mexico,NorEste,biomassPlant,genUp,11300,Aghahosseini
all,Mexico,Occidental,biomassPlant,genUp,18400,Aghahosseini
all,Mexico,Oriental,biomassPlant,genUp,17520,Aghahosseini
all,Mexico,Peninsular,biomassPlant,genUp,8760,Aghahosseini
all,Canada,West,biomassPlant,genUp,102762,Aghahosseini
all,Canada,CA_Central,biomassPlant,genUp,75867,Aghahosseini
all,Canada,East,biomassPlant,genUp,47454,Aghahosseini
