timestep_1,region_1,region_2,technology_1,technology_2,parameter,value,comment
all,US,California,geothermal,enhancedGeothermal_1,capaConvUp,91.01588893750001,ReEDS
all,US,California,geothermal,enhancedGeothermal_2,capaConvUp,126.48378693261998,ReEDS
all,US,California,geothermal,hydrothermal,capaConvUp,12.40798416,ReEDS
all,US,Carolinas,geothermal,enhancedGeothermal_2,capaConvUp,9.5545462,ReEDS
all,US,Florida,geothermal,enhancedGeothermal_2,capaConvUp,0.4059916,ReEDS
all,US,MidAtlantic,geothermal,enhancedGeothermal_1,capaConvUp,3.15370872991,ReEDS
all,US,MidAtlantic,geothermal,enhancedGeothermal_2,capaConvUp,68.978091620314,ReEDS
all,US,MidWest,geothermal,enhancedGeothermal_1,capaConvUp,21.8550997,ReEDS
all,US,MidWest,geothermal,enhancedGeothermal_2,capaConvUp,88.506375002,ReEDS
all,US,NewEngland,geothermal,enhancedGeothermal_2,capaConvUp,0.174345,ReEDS
all,US,NewYork,geothermal,enhancedGeothermal_2,capaConvUp,0.0064214,ReEDS
all,US,NorthWest,geothermal,enhancedGeothermal_1,capaConvUp,592.1355784079808,ReEDS
all,US,NorthWest,geothermal,enhancedGeothermal_2,capaConvUp,1010.31097448994,ReEDS
all,US,NorthWest,geothermal,hydrothermal,capaConvUp,9.95129424,ReEDS
all,US,SouthEast,geothermal,enhancedGeothermal_2,capaConvUp,0.5473551,ReEDS
all,US,SouthWest,geothermal,enhancedGeothermal_1,capaConvUp,279.72061639747,ReEDS
all,US,SouthWest,geothermal,enhancedGeothermal_2,capaConvUp,317.45387838770006,ReEDS
all,US,SouthWest,geothermal,hydrothermal,capaConvUp,1.54891912,ReEDS
all,US,Tennessee,geothermal,enhancedGeothermal_1,capaConvUp,0.06480864977999999,ReEDS
all,US,Tennessee,geothermal,enhancedGeothermal_2,capaConvUp,0.9675200609829999,ReEDS
all,US,Texas,geothermal,enhancedGeothermal_1,capaConvUp,101.50442200033,ReEDS
all,US,Texas,geothermal,enhancedGeothermal_2,capaConvUp,362.20277114561003,ReEDS
all,US,US_Central,geothermal,enhancedGeothermal_1,capaConvUp,23.236208899999998,ReEDS
all,US,US_Central,geothermal,enhancedGeothermal_2,capaConvUp,278.3786444,ReEDS
all,US,NewEngland,geothermal,hydrothermal,capaConvUp,0.0,ReEDS
all,US,MidWest,geothermal,hydrothermal,capaConvUp,0.0,ReEDS
all,US,Florida,geothermal,hydrothermal,capaConvUp,0.0,ReEDS
all,US,Tennessee,geothermal,hydrothermal,capaConvUp,0.0,ReEDS
all,US,SouthEast,geothermal,hydrothermal,capaConvUp,0.0,ReEDS
all,US,US_Central,geothermal,hydrothermal,capaConvUp,0.0,ReEDS
all,US,MidAtlantic,geothermal,hydrothermal,capaConvUp,0.0,ReEDS
all,US,Carolinas,geothermal,enhancedGeothermal_1,capaConvUp,0.0,ReEDS
all,US,NewYork,geothermal,hydrothermal,capaConvUp,0.0,ReEDS
all,US,Texas,geothermal,hydrothermal,capaConvUp,0.0,ReEDS
all,US,Carolinas,geothermal,hydrothermal,capaConvUp,0.0,ReEDS
all,US,NewYork,geothermal,enhancedGeothermal_1,capaConvUp,0.0,ReEDS
all,US,SouthEast,geothermal,enhancedGeothermal_1,capaConvUp,0.0,ReEDS
all,US,Florida,geothermal,enhancedGeothermal_1,capaConvUp,0.0,ReEDS
all,US,NewEngland,geothermal,enhancedGeothermal_1,capaConvUp,0.0,ReEDS
