timestep_1,region_1,region_2,technology_1,technology_2,parameter,value,comment
all,Mexico,BajaCalifornia,hydro,newStream,capaConvUp,0.0,ReEDS
all,Mexico,BajaCalifornia,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,Mexico,BajaCaliforniaSur,hydro,newStream,capaConvUp,0.0,ReEDS
all,Mexico,BajaCaliforniaSur,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,Canada,CA_Central,hydro,newStream,capaConvUp,1.058,ReEDS
all,Canada,CA_Central,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,US,California,hydro,newStream,capaConvUp,1.202,ReEDS
all,US,California,hydro,nonPoweredDam,capaConvUp,1.009,ReEDS
all,US,Carolinas,hydro,newStream,capaConvUp,0.586,ReEDS
all,US,Carolinas,hydro,nonPoweredDam,capaConvUp,0.31,ReEDS
all,Canada,East,hydro,newStream,capaConvUp,4.477,ReEDS
all,Canada,East,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,US,Florida,hydro,newStream,capaConvUp,0.103,ReEDS
all,US,Florida,hydro,nonPoweredDam,capaConvUp,0.04,ReEDS
all,Mexico,MEX_Central,hydro,newStream,capaConvUp,0.153,ReEDS
all,Mexico,MEX_Central,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,US,MidAtlantic,hydro,newStream,capaConvUp,3.757,ReEDS
all,US,MidAtlantic,hydro,nonPoweredDam,capaConvUp,1.666,ReEDS
all,US,MidWest,hydro,newStream,capaConvUp,4.482,ReEDS
all,US,MidWest,hydro,nonPoweredDam,capaConvUp,2.469,ReEDS
all,US,NewEngland,hydro,newStream,capaConvUp,1.073,ReEDS
all,US,NewEngland,hydro,nonPoweredDam,capaConvUp,0.235,ReEDS
all,US,NewYork,hydro,newStream,capaConvUp,0.743,ReEDS
all,US,NewYork,hydro,nonPoweredDam,capaConvUp,0.324,ReEDS
all,Mexico,NorEste,hydro,newStream,capaConvUp,0.032,ReEDS
all,Mexico,NorEste,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,Mexico,NorOeste,hydro,newStream,capaConvUp,0.941,ReEDS
all,Mexico,NorOeste,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,Mexico,Norte,hydro,newStream,capaConvUp,0.091,ReEDS
all,Mexico,Norte,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,US,NorthWest,hydro,newStream,capaConvUp,13.148,ReEDS
all,US,NorthWest,hydro,nonPoweredDam,capaConvUp,1.958,ReEDS
all,Mexico,Occidental,hydro,newStream,capaConvUp,2.414,ReEDS
all,Mexico,Occidental,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,Mexico,Oriental,hydro,newStream,capaConvUp,6.524,ReEDS
all,Mexico,Oriental,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,Mexico,Peninsular,hydro,newStream,capaConvUp,0.0,ReEDS
all,Mexico,Peninsular,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,US,SouthEast,hydro,newStream,capaConvUp,0.587,ReEDS
all,US,SouthEast,hydro,nonPoweredDam,capaConvUp,0.564,ReEDS
all,US,SouthWest,hydro,newStream,capaConvUp,0.816,ReEDS
all,US,SouthWest,hydro,nonPoweredDam,capaConvUp,0.51,ReEDS
all,US,Tennessee,hydro,newStream,capaConvUp,0.724,ReEDS
all,US,Tennessee,hydro,nonPoweredDam,capaConvUp,0.252,ReEDS
all,US,Texas,hydro,newStream,capaConvUp,0.719,ReEDS
all,US,Texas,hydro,nonPoweredDam,capaConvUp,0.193,ReEDS
all,US,US_Central,hydro,newStream,capaConvUp,2.706,ReEDS
all,US,US_Central,hydro,nonPoweredDam,capaConvUp,0.428,ReEDS
all,Canada,West,hydro,newStream,capaConvUp,1.808,ReEDS
all,Canada,West,hydro,nonPoweredDam,capaConvUp,0.0,ReEDS
all,US,California,pumpedStorage,,capaConvUp,16.298,ReEDS
all,US,Carolinas,pumpedStorage,,capaConvUp,3.0,ReEDS
all,US,Florida,pumpedStorage,,capaConvUp,2.25,ReEDS
all,US,MidAtlantic,pumpedStorage,,capaConvUp,23.44,ReEDS
all,US,MidWest,pumpedStorage,,capaConvUp,29.6,ReEDS
all,US,NewEngland,pumpedStorage,,capaConvUp,5.665,ReEDS
all,US,NewYork,pumpedStorage,,capaConvUp,7.27,ReEDS
all,US,NorthWest,pumpedStorage,,capaConvUp,63.1652,ReEDS
all,US,SouthEast,pumpedStorage,,capaConvUp,5.175,ReEDS
all,US,SouthWest,pumpedStorage,,capaConvUp,20.506,ReEDS
all,US,Tennessee,pumpedStorage,,capaConvUp,8.322,ReEDS
all,US,Texas,pumpedStorage,,capaConvUp,10.181,ReEDS
all,US,US_Central,pumpedStorage,,capaConvUp,14.04,ReEDS
