timestep_1,region_1,region_2,technology_1,technology_2,parameter,value,comment
all,Mexico,BajaCalifornia,solar,openspace_2,capaConvUp,450.7988256,ReEDS
all,Mexico,BajaCaliforniaSur,solar,openspace_2,capaConvUp,593.453952,ReEDS
all,Canada,CA_Central,solar,openspace_1,capaConvUp,17741.629324999998,ReEDS
all,US,California,solar,openspace_1,capaConvUp,477.88911360000003,ReEDS
all,US,California,solar,openspace_2,capaConvUp,1828.3340736000002,ReEDS
all,US,Carolinas,solar,openspace_1,capaConvUp,2929.702608,ReEDS
all,Canada,East,solar,openspace_1,capaConvUp,19462.819450000003,ReEDS
all,US,Florida,solar,openspace_1,capaConvUp,885.1690368000001,ReEDS
all,US,Florida,solar,openspace_2,capaConvUp,964.8738144,ReEDS
all,Mexico,MEX_Central,solar,openspace_2,capaConvUp,292.355568,ReEDS
all,US,MidAtlantic,solar,openspace_1,capaConvUp,5084.6968512,ReEDS
all,US,MidWest,solar,openspace_1,capaConvUp,25107.319612799998,ReEDS
all,US,MidWest,solar,openspace_2,capaConvUp,4.2513984,ReEDS
all,US,NewEngland,solar,openspace_1,capaConvUp,1152.9135648000001,ReEDS
all,US,NewYork,solar,openspace_1,capaConvUp,932.0212512,ReEDS
all,Mexico,NorEste,solar,openspace_1,capaConvUp,10.1329056,ReEDS
all,Mexico,NorEste,solar,openspace_2,capaConvUp,2669.1869088,ReEDS
all,Mexico,NorOeste,solar,openspace_2,capaConvUp,2823.8821344,ReEDS
all,Mexico,Norte,solar,openspace_2,capaConvUp,5756.231952,ReEDS
all,US,NorthWest,solar,openspace_1,capaConvUp,16030.6055424,ReEDS
all,US,NorthWest,solar,openspace_2,capaConvUp,4963.9091327999995,ReEDS
all,Mexico,Occidental,solar,openspace_1,capaConvUp,0.0603936,ReEDS
all,Mexico,Occidental,solar,openspace_2,capaConvUp,2891.6766719999996,ReEDS
all,Mexico,Oriental,solar,openspace_1,capaConvUp,230.13564479999997,ReEDS
all,Mexico,Oriental,solar,openspace_2,capaConvUp,1461.0536352000004,ReEDS
all,Mexico,Peninsular,solar,openspace_1,capaConvUp,0.0080352,ReEDS
all,Mexico,Peninsular,solar,openspace_2,capaConvUp,592.9041888,ReEDS
all,US,SouthEast,solar,openspace_1,capaConvUp,4275.2419488,ReEDS
all,US,SouthEast,solar,openspace_2,capaConvUp,46.711728,ReEDS
all,US,SouthWest,solar,openspace_1,capaConvUp,2.0870784,ReEDS
all,US,SouthWest,solar,openspace_2,capaConvUp,9170.7469056,ReEDS
all,US,Tennessee,solar,openspace_1,capaConvUp,3382.8505631999997,ReEDS
all,US,Texas,solar,openspace_1,capaConvUp,4056.5183616,ReEDS
all,US,Texas,solar,openspace_2,capaConvUp,12308.18976,ReEDS
all,US,US_Central,solar,openspace_1,capaConvUp,21606.946214400003,ReEDS
all,US,US_Central,solar,openspace_2,capaConvUp,2217.3676128,ReEDS
all,Canada,West,solar,openspace_1,capaConvUp,14871.3662012,ReEDS
all,Mexico,BajaCalifornia,solar,openspace_1,capaConvUp,0.0,ReEDS
all,US,Carolinas,solar,openspace_2,capaConvUp,0.0,ReEDS
all,Canada,West,solar,openspace_2,capaConvUp,0.0,ReEDS
all,Canada,East,solar,openspace_2,capaConvUp,0.0,ReEDS
all,US,NewYork,solar,openspace_2,capaConvUp,0.0,ReEDS
all,Mexico,BajaCaliforniaSur,solar,openspace_1,capaConvUp,0.0,ReEDS
all,US,Tennessee,solar,openspace_2,capaConvUp,0.0,ReEDS
all,Canada,CA_Central,solar,openspace_2,capaConvUp,0.0,ReEDS
all,Mexico,Norte,solar,openspace_1,capaConvUp,0.0,ReEDS
all,US,NewEngland,solar,openspace_2,capaConvUp,0.0,ReEDS
all,US,MidAtlantic,solar,openspace_2,capaConvUp,0.0,ReEDS
all,Mexico,MEX_Central,solar,openspace_1,capaConvUp,0.0,ReEDS
all,Mexico,NorOeste,solar,openspace_1,capaConvUp,0.0,ReEDS
