timestep_1,region_1,region_2,technology_1,technology_2,parameter,value,comment
all,Mexico,BajaCalifornia,wind,onshore_1,capaConvUp,2.377086917988,ReEDS
all,Mexico,BajaCalifornia,wind,onshore_2,capaConvUp,66.79956472210098,ReEDS
all,Mexico,BajaCaliforniaSur,wind,onshore_1,capaConvUp,0.076739405815,ReEDS
all,Mexico,BajaCaliforniaSur,wind,onshore_2,capaConvUp,69.44809576155001,ReEDS
all,Canada,CA_Central,wind,onshore_1,capaConvUp,620.4758520199599,ReEDS
all,Canada,CA_Central,wind,onshore_2,capaConvUp,2366.417770537003,ReEDS
all,US,California,wind,offshore,capaConvUp,105.24600000000001,ReEDS
all,US,California,wind,onshore_1,capaConvUp,1.6101545629699998,ReEDS
all,US,California,wind,onshore_2,capaConvUp,283.46997485405205,ReEDS
all,US,Carolinas,wind,offshore,capaConvUp,169.5312,ReEDS
all,US,Carolinas,wind,onshore_1,capaConvUp,102.63791479579301,ReEDS
all,US,Carolinas,wind,onshore_2,capaConvUp,221.58031294204505,ReEDS
all,Canada,East,wind,onshore_1,capaConvUp,2104.6340276307606,ReEDS
all,Canada,East,wind,onshore_2,capaConvUp,697.7429637404218,ReEDS
all,US,Florida,wind,offshore,capaConvUp,239.59440000000004,ReEDS
all,US,Florida,wind,onshore_1,capaConvUp,0.5688,ReEDS
all,US,Florida,wind,onshore_2,capaConvUp,109.99428726972599,ReEDS
all,Mexico,MEX_Central,wind,onshore_2,capaConvUp,50.453413942419004,ReEDS
all,US,MidAtlantic,wind,offshore,capaConvUp,28.151999999999997,ReEDS
all,US,MidAtlantic,wind,onshore_1,capaConvUp,98.77129546013302,ReEDS
all,US,MidAtlantic,wind,onshore_2,capaConvUp,674.777539753875,ReEDS
all,US,MidWest,wind,offshore,capaConvUp,136.74960000000002,ReEDS
all,US,MidWest,wind,onshore_1,capaConvUp,628.4737166246748,ReEDS
all,US,MidWest,wind,onshore_2,capaConvUp,1423.1397624246417,ReEDS
all,US,NewEngland,wind,offshore,capaConvUp,37.0944,ReEDS
all,US,NewEngland,wind,onshore_1,capaConvUp,75.32621335644001,ReEDS
all,US,NewEngland,wind,onshore_2,capaConvUp,329.6329934500631,ReEDS
all,US,NewYork,wind,offshore,capaConvUp,10.5984,ReEDS
all,US,NewYork,wind,onshore_1,capaConvUp,38.372735183347,ReEDS
all,US,NewYork,wind,onshore_2,capaConvUp,131.61529387137998,ReEDS
all,Mexico,NorEste,wind,onshore_1,capaConvUp,45.936349006481,ReEDS
all,Mexico,NorEste,wind,onshore_2,capaConvUp,255.570166556702,ReEDS
all,Mexico,NorOeste,wind,onshore_1,capaConvUp,0.003657150239,ReEDS
all,Mexico,NorOeste,wind,onshore_2,capaConvUp,362.38619748773004,ReEDS
all,Mexico,Norte,wind,onshore_1,capaConvUp,12.753637586738,ReEDS
all,Mexico,Norte,wind,onshore_2,capaConvUp,712.399390597959,ReEDS
all,US,NorthWest,wind,offshore,capaConvUp,93.0024,ReEDS
all,US,NorthWest,wind,onshore_1,capaConvUp,377.5183480244819,ReEDS
all,US,NorthWest,wind,onshore_2,capaConvUp,2688.40966000768,ReEDS
all,Mexico,Occidental,wind,onshore_1,capaConvUp,0.138254858454,ReEDS
all,Mexico,Occidental,wind,onshore_2,capaConvUp,377.927955493617,ReEDS
all,Mexico,Oriental,wind,onshore_1,capaConvUp,13.227025692302002,ReEDS
all,Mexico,Oriental,wind,onshore_2,capaConvUp,240.655692285592,ReEDS
all,Mexico,Peninsular,wind,onshore_2,capaConvUp,129.35162646225402,ReEDS
all,US,SouthEast,wind,offshore,capaConvUp,31.946399999999997,ReEDS
all,US,SouthEast,wind,onshore_1,capaConvUp,14.16221955643,ReEDS
all,US,SouthEast,wind,onshore_2,capaConvUp,310.68682257592803,ReEDS
all,US,SouthWest,wind,onshore_1,capaConvUp,98.266940003273,ReEDS
all,US,SouthWest,wind,onshore_2,capaConvUp,1048.748220460284,ReEDS
all,US,Tennessee,wind,onshore_1,capaConvUp,0.385492949689,ReEDS
all,US,Tennessee,wind,onshore_2,capaConvUp,270.98429797941697,ReEDS
all,US,Texas,wind,offshore,capaConvUp,77.08319999999999,ReEDS
all,US,Texas,wind,onshore_1,capaConvUp,620.5771979407128,ReEDS
all,US,Texas,wind,onshore_2,capaConvUp,962.5603937351049,ReEDS
all,US,US_Central,wind,onshore_1,capaConvUp,1463.2203790512965,ReEDS
all,US,US_Central,wind,onshore_2,capaConvUp,751.9542260967479,ReEDS
all,Canada,West,wind,onshore_1,capaConvUp,235.610497516046,ReEDS
all,Canada,West,wind,onshore_2,capaConvUp,2193.30699785258,ReEDS
all,Mexico,Oriental,wind,offshore,capaConvUp,0.0,ReEDS
all,Mexico,Occidental,wind,offshore,capaConvUp,0.0,ReEDS
all,Mexico,Peninsular,wind,onshore_1,capaConvUp,0.0,ReEDS
all,Mexico,BajaCalifornia,wind,offshore,capaConvUp,0.0,ReEDS
all,Mexico,Peninsular,wind,offshore,capaConvUp,0.0,ReEDS
all,US,SouthWest,wind,offshore,capaConvUp,0.0,ReEDS
all,US,US_Central,wind,offshore,capaConvUp,0.0,ReEDS
all,Mexico,NorOeste,wind,offshore,capaConvUp,0.0,ReEDS
all,Mexico,NorEste,wind,offshore,capaConvUp,0.0,ReEDS
all,US,Tennessee,wind,offshore,capaConvUp,0.0,ReEDS
all,Canada,CA_Central,wind,offshore,capaConvUp,0.0,ReEDS
all,Mexico,MEX_Central,wind,offshore,capaConvUp,0.0,ReEDS
all,Mexico,BajaCaliforniaSur,wind,offshore,capaConvUp,0.0,ReEDS
all,Mexico,MEX_Central,wind,onshore_1,capaConvUp,0.0,ReEDS
all,Canada,West,wind,offshore,capaConvUp,0.0,ReEDS
all,Mexico,Norte,wind,offshore,capaConvUp,0.0,ReEDS
all,Canada,East,wind,offshore,capaConvUp,0.0,ReEDS
